"Barcelona","Barcelona","41.3825","2.1769","Spain","ES","ESP","Catalonia","admin","4588000","1724594040"
"Madrid","Madrid","40.4189","-3.6919","Spain","ES","ESP","Madrid","primary","3266126","1724616994"
"Sevilla","Sevilla","37.3828","-5.9731","Spain","ES","ESP","Andalusia","admin","1212045","1724991838"
"Port of Spain","Port of Spain","10.6667","-61.5167","Trinidad And Tobago","TT","TTO","Port of Spain","primary","37074","1780670676"
"Valencia","Valencia","39.4667","-0.3750","Spain","ES","ESP","Valencia","admin","794288","1724981666"
"Zaragoza","Zaragoza","41.6483","-0.8830","Spain","ES","ESP","Aragon","admin","649404","1724907391"
"Málaga","Malaga","36.7167","-4.4167","Spain","ES","ESP","Andalusia","minor","574654","1724397372"
"Palma","Palma","39.5667","2.6497","Spain","ES","ESP","Balearic Islands","admin","416065","1724728111"
"Murcia","Murcia","37.9866","-1.1415","Spain","ES","ESP","Murcia","admin","406807","1724107739"
"Las Palmas","Las Palmas","28.1272","-15.4314","Spain","ES","ESP","Canary Islands","admin","379925","1724501748"
